"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/23/2011","AQS","360610119","3","14.2","ug/m3 LC","55","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"01/24/2011","AQS","360610119","3","12.6","ug/m3 LC","52","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"01/25/2011","AQS","360610119","3","23.9","ug/m3 LC","76","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"01/26/2011","AQS","360610119","3","24.3","ug/m3 LC","77","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"01/27/2011","AQS","360610119","3","14.5","ug/m3 LC","56","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/01/2011","AQS","360610119","3","12.6","ug/m3 LC","52","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/02/2011","AQS","360610119","3","10.6","ug/m3 LC","44","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/03/2011","AQS","360610119","3","7.8","ug/m3 LC","33","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/04/2011","AQS","360610119","3","14.8","ug/m3 LC","57","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
"02/05/2011","AQS","360610119","3","18.1","ug/m3 LC","64","MANHATTANVILLE POST OFFICE","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.81133","-73.95321"
