Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/1/2015 0:00,2015,1,1,0,37,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 1:00,2015,1,1,1,26,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 2:00,2015,1,1,2,30,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 3:00,2015,1,1,3,26,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 4:00,2015,1,1,4,33,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 5:00,2015,1,1,5,33,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 6:00,2015,1,1,6,39,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 7:00,2015,1,1,7,36,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 8:00,2015,1,1,8,33,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 9:00,2015,1,1,9,41,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 10:00,2015,1,1,10,59,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 11:00,2015,1,1,11,45,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 12:00,2015,1,1,12,40,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 13:00,2015,1,1,13,35,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 14:00,2015,1,1,14,36,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 15:00,2015,1,1,15,26,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 16:00,2015,1,1,16,46,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 17:00,2015,1,1,17,52,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 18:00,2015,1,1,18,48,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 19:00,2015,1,1,19,49,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 20:00,2015,1,1,20,51,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 21:00,2015,1,1,21,56,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 22:00,2015,1,1,22,55,g/m,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 23:00,2015,1,1,23,46,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 0:00,2015,1,2,0,49,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 1:00,2015,1,2,1,56,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 2:00,2015,1,2,2,68,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 3:00,2015,1,2,3,83,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 4:00,2015,1,2,4,73,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 5:00,2015,1,2,5,66,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 6:00,2015,1,2,6,70,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 7:00,2015,1,2,7,50,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 8:00,2015,1,2,8,42,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 9:00,2015,1,2,9,37,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 10:00,2015,1,2,10,35,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 11:00,2015,1,2,11,46,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 12:00,2015,1,2,12,46,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 13:00,2015,1,2,13,45,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 14:00,2015,1,2,14,37,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 15:00,2015,1,2,15,30,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 16:00,2015,1,2,16,31,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 17:00,2015,1,2,17,47,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 18:00,2015,1,2,18,45,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 19:00,2015,1,2,19,51,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 20:00,2015,1,2,20,51,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 21:00,2015,1,2,21,50,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 22:00,2015,1,2,22,47,g/m,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 23:00,2015,1,2,23,49,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 0:00,2015,1,3,0,63,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 1:00,2015,1,3,1,80,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 2:00,2015,1,3,2,92,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 3:00,2015,1,3,3,85,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 4:00,2015,1,3,4,91,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 5:00,2015,1,3,5,36,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 6:00,2015,1,3,6,34,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 7:00,2015,1,3,7,32,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 8:00,2015,1,3,8,39,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 9:00,2015,1,3,9,41,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 10:00,2015,1,3,10,33,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 11:00,2015,1,3,11,28,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 12:00,2015,1,3,12,25,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 13:00,2015,1,3,13,26,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 14:00,2015,1,3,14,38,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 15:00,2015,1,3,15,52,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 16:00,2015,1,3,16,64,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 17:00,2015,1,3,17,66,g/m,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 18:00,2015,1,3,18,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/3/2015 19:00,2015,1,3,19,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/3/2015 20:00,2015,1,3,20,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/3/2015 21:00,2015,1,3,21,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/3/2015 22:00,2015,1,3,22,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/3/2015 23:00,2015,1,3,23,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/4/2015 0:00,2015,1,4,0,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/4/2015 1:00,2015,1,4,1,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/4/2015 2:00,2015,1,4,2,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/4/2015 3:00,2015,1,4,3,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/4/2015 4:00,2015,1,4,4,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/4/2015 5:00,2015,1,4,5,-999,g/m,1 Hr,Missing
Shenyang,PM2.5,1/4/2015 6:00,2015,1,4,6,176,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 7:00,2015,1,4,7,181,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 8:00,2015,1,4,8,182,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 9:00,2015,1,4,9,142,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 10:00,2015,1,4,10,145,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 11:00,2015,1,4,11,117,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 12:00,2015,1,4,12,52,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 13:00,2015,1,4,13,52,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 14:00,2015,1,4,14,57,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 15:00,2015,1,4,15,56,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 16:00,2015,1,4,16,66,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 17:00,2015,1,4,17,79,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 18:00,2015,1,4,18,81,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 19:00,2015,1,4,19,98,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 20:00,2015,1,4,20,99,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 21:00,2015,1,4,21,163,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 22:00,2015,1,4,22,173,g/m,1 Hr,Valid
Shenyang,PM2.5,1/4/2015 23:00,2015,1,4,23,189,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 0:00,2015,1,5,0,165,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 1:00,2015,1,5,1,126,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 2:00,2015,1,5,2,114,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 3:00,2015,1,5,3,120,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 4:00,2015,1,5,4,142,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 5:00,2015,1,5,5,114,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 6:00,2015,1,5,6,80,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 7:00,2015,1,5,7,87,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 8:00,2015,1,5,8,94,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 9:00,2015,1,5,9,156,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 10:00,2015,1,5,10,152,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 11:00,2015,1,5,11,154,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 12:00,2015,1,5,12,67,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 13:00,2015,1,5,13,25,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 14:00,2015,1,5,14,27,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 15:00,2015,1,5,15,37,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 16:00,2015,1,5,16,46,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 17:00,2015,1,5,17,37,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 18:00,2015,1,5,18,39,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 19:00,2015,1,5,19,22,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 20:00,2015,1,5,20,18,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 21:00,2015,1,5,21,20,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 22:00,2015,1,5,22,16,g/m,1 Hr,Valid
Shenyang,PM2.5,1/5/2015 23:00,2015,1,5,23,16,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 0:00,2015,1,6,0,12,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 1:00,2015,1,6,1,15,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 2:00,2015,1,6,2,18,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 3:00,2015,1,6,3,25,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 4:00,2015,1,6,4,31,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 5:00,2015,1,6,5,28,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 6:00,2015,1,6,6,40,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 7:00,2015,1,6,7,35,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 8:00,2015,1,6,8,51,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 9:00,2015,1,6,9,63,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 10:00,2015,1,6,10,106,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 11:00,2015,1,6,11,43,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 12:00,2015,1,6,12,29,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 13:00,2015,1,6,13,12,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 14:00,2015,1,6,14,19,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 15:00,2015,1,6,15,22,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 16:00,2015,1,6,16,25,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 17:00,2015,1,6,17,38,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 18:00,2015,1,6,18,42,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 19:00,2015,1,6,19,45,g/m,1 Hr,Valid
Shenyang,PM2.5,1/6/2015 20:00,2015,1,6,20,40,g/m,1 Hr,Valid
