"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2013","AQS","360610128","1","13.5","ug/m3 LC","54","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/04/2013","AQS","360610128","1","20.8","ug/m3 LC","69","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/07/2013","AQS","360610128","1","15.4","ug/m3 LC","58","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/10/2013","AQS","360610128","1","8.4","ug/m3 LC","35","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/13/2013","AQS","360610128","1","19.6","ug/m3 LC","67","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/16/2013","AQS","360610128","1","20.2","ug/m3 LC","68","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/19/2013","AQS","360610128","1","9.5","ug/m3 LC","40","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/22/2013","AQS","360610128","1","10.9","ug/m3 LC","45","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/25/2013","AQS","360610128","1","18.5","ug/m3 LC","64","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/28/2013","AQS","360610128","1","28.4","ug/m3 LC","85","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/31/2013","AQS","360610128","1","6.6","ug/m3 LC","28","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/03/2013","AQS","360610128","1","23.1","ug/m3 LC","74","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/06/2013","AQS","360610128","1","21.7","ug/m3 LC","71","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/09/2013","AQS","360610128","1","7.2","ug/m3 LC","30","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/12/2013","AQS","360610128","1","13.2","ug/m3 LC","53","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/15/2013","AQS","360610128","1","26.3","ug/m3 LC","81","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/18/2013","AQS","360610128","1","8.5","ug/m3 LC","35","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/21/2013","AQS","360610128","1","8.3","ug/m3 LC","35","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/24/2013","AQS","360610128","1","11.5","ug/m3 LC","48","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/27/2013","AQS","360610128","1","18.9","ug/m3 LC","65","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/02/2013","AQS","360610128","1","7.8","ug/m3 LC","33","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/05/2013","AQS","360610128","1","8","ug/m3 LC","33","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/08/2013","AQS","360610128","1","8.5","ug/m3 LC","35","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/11/2013","AQS","360610128","1","7","ug/m3 LC","29","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/14/2013","AQS","360610128","1","6","ug/m3 LC","25","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/17/2013","AQS","360610128","1","8.1","ug/m3 LC","34","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/20/2013","AQS","360610128","1","10.5","ug/m3 LC","44","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/23/2013","AQS","360610128","1","5.8","ug/m3 LC","24","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/26/2013","AQS","360610128","1","6.3","ug/m3 LC","26","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/29/2013","AQS","360610128","1","6","ug/m3 LC","25","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/01/2013","AQS","360610128","1","11.7","ug/m3 LC","49","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
