"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2012","AQS","360610128","1","13","ug/m3 LC","53","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/04/2012","AQS","360610128","1","11.3","ug/m3 LC","47","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/07/2012","AQS","360610128","1","17.3","ug/m3 LC","62","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/16/2012","AQS","360610128","1","11.4","ug/m3 LC","48","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/19/2012","AQS","360610128","1","9.5","ug/m3 LC","40","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/22/2012","AQS","360610128","1","15.8","ug/m3 LC","59","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/25/2012","AQS","360610128","1","11.1","ug/m3 LC","46","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/28/2012","AQS","360610128","1","8.5","ug/m3 LC","35","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"01/31/2012","AQS","360610128","1","10.7","ug/m3 LC","45","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/03/2012","AQS","360610128","1","8.6","ug/m3 LC","36","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/06/2012","AQS","360610128","1","13","ug/m3 LC","53","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/09/2012","AQS","360610128","1","13.7","ug/m3 LC","54","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/12/2012","AQS","360610128","1","7","ug/m3 LC","29","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/15/2012","AQS","360610128","1","23.4","ug/m3 LC","75","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/21/2012","AQS","360610128","1","8.8","ug/m3 LC","37","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"02/24/2012","AQS","360610128","1","12","ug/m3 LC","50","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/01/2012","AQS","360610128","1","14","ug/m3 LC","55","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/04/2012","AQS","360610128","1","9.7","ug/m3 LC","40","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/07/2012","AQS","360610128","1","11.7","ug/m3 LC","49","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/10/2012","AQS","360610128","1","6.2","ug/m3 LC","26","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/13/2012","AQS","360610128","1","14.7","ug/m3 LC","56","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/16/2012","AQS","360610128","1","24.9","ug/m3 LC","78","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/19/2012","AQS","360610128","1","15.5","ug/m3 LC","58","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/22/2012","AQS","360610128","1","14.3","ug/m3 LC","56","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/25/2012","AQS","360610128","1","10","ug/m3 LC","42","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/28/2012","AQS","360610128","1","11.8","ug/m3 LC","49","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"03/31/2012","AQS","360610128","1","8.9","ug/m3 LC","37","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/03/2012","AQS","360610128","1","6.4","ug/m3 LC","27","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/06/2012","AQS","360610128","1","5.7","ug/m3 LC","24","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/09/2012","AQS","360610128","1","8.9","ug/m3 LC","37","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/12/2012","AQS","360610128","1","6.3","ug/m3 LC","26","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/15/2012","AQS","360610128","1","17.7","ug/m3 LC","63","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/18/2012","AQS","360610128","1","10.2","ug/m3 LC","43","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/21/2012","AQS","360610128","1","8.2","ug/m3 LC","34","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/24/2012","AQS","360610128","1","7","ug/m3 LC","29","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"04/27/2012","AQS","360610128","1","7.5","ug/m3 LC","31","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/03/2012","AQS","360610128","1","10.5","ug/m3 LC","44","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/06/2012","AQS","360610128","1","6.1","ug/m3 LC","25","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/09/2012","AQS","360610128","1","12.8","ug/m3 LC","52","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/12/2012","AQS","360610128","1","11.3","ug/m3 LC","47","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/15/2012","AQS","360610128","1","9.1","ug/m3 LC","38","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/18/2012","AQS","360610128","1","6.8","ug/m3 LC","28","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/21/2012","AQS","360610128","1","9.7","ug/m3 LC","40","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/24/2012","AQS","360610128","1","9","ug/m3 LC","38","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/27/2012","AQS","360610128","1","14","ug/m3 LC","55","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"05/30/2012","AQS","360610128","1","11.5","ug/m3 LC","48","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/02/2012","AQS","360610128","1","6.7","ug/m3 LC","28","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/05/2012","AQS","360610128","1","4.9","ug/m3 LC","20","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/08/2012","AQS","360610128","1","9","ug/m3 LC","38","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/11/2012","AQS","360610128","1","8","ug/m3 LC","33","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/14/2012","AQS","360610128","1","7.8","ug/m3 LC","33","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/17/2012","AQS","360610128","1","7.1","ug/m3 LC","30","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/23/2012","AQS","360610128","1","9.2","ug/m3 LC","38","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/26/2012","AQS","360610128","1","3.5","ug/m3 LC","15","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"06/29/2012","AQS","360610128","1","24","ug/m3 LC","76","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/02/2012","AQS","360610128","1","6.7","ug/m3 LC","28","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/05/2012","AQS","360610128","1","14.1","ug/m3 LC","55","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/08/2012","AQS","360610128","1","11.9","ug/m3 LC","50","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/11/2012","AQS","360610128","1","11.7","ug/m3 LC","49","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/14/2012","AQS","360610128","1","15.8","ug/m3 LC","59","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/17/2012","AQS","360610128","1","18.3","ug/m3 LC","64","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/20/2012","AQS","360610128","1","10.1","ug/m3 LC","42","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/23/2012","AQS","360610128","1","13.8","ug/m3 LC","55","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/26/2012","AQS","360610128","1","13.4","ug/m3 LC","54","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"07/29/2012","AQS","360610128","1","7.7","ug/m3 LC","32","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/01/2012","AQS","360610128","1","8.3","ug/m3 LC","35","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/04/2012","AQS","360610128","1","13.3","ug/m3 LC","54","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/07/2012","AQS","360610128","1","7.5","ug/m3 LC","31","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/10/2012","AQS","360610128","1","8.6","ug/m3 LC","36","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/13/2012","AQS","360610128","1","9.4","ug/m3 LC","39","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/16/2012","AQS","360610128","1","11.6","ug/m3 LC","48","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/19/2012","AQS","360610128","1","7.3","ug/m3 LC","30","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/22/2012","AQS","360610128","1","13.2","ug/m3 LC","53","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/25/2012","AQS","360610128","1","15.4","ug/m3 LC","58","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/28/2012","AQS","360610128","1","9.2","ug/m3 LC","38","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"08/31/2012","AQS","360610128","1","17.7","ug/m3 LC","63","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/03/2012","AQS","360610128","1","8","ug/m3 LC","33","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/06/2012","AQS","360610128","1","8.1","ug/m3 LC","34","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/09/2012","AQS","360610128","1","5","ug/m3 LC","21","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/12/2012","AQS","360610128","1","9.2","ug/m3 LC","38","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/15/2012","AQS","360610128","1","5.2","ug/m3 LC","22","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/18/2012","AQS","360610128","1","6.4","ug/m3 LC","27","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/21/2012","AQS","360610128","1","5.5","ug/m3 LC","23","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/24/2012","AQS","360610128","1","18.1","ug/m3 LC","64","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
"09/27/2012","AQS","360610128","1","15.5","ug/m3 LC","58","PS 19","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.73","-73.984"
