Asian,11899000,20417000
Chinese,2865000,4948000
Indian,1900000,3982000
Filipino,2365000,3899000
Vietnamese,1224000,1980000
Bhutanese,200,24000
Nepalese,9000,140000
Burmese,17000,168000
Laotians,198000,271000
Japanese,1149000,1411000
Malaysian,19000,30000
Sri Lankans,25000,60000
Bangladeshis,57000,188000
Mongolians,6000,21000
Cambodians,206000,330000
Hmong,186000,299000
Korean,1228000,1822000
Indonesian,63000,113000
Pakistanis,204000,519000
Cambodian,206000,330000
Thai,150000,295000
