GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0400000US01,01,Alabama,54923,1010,25703,736,1836,172,2040,235,2010,300,1147,204,1235,324,2051,261,2349,275,2275,259,4779,280,2805,214,1821,131,984,162,290,92,81,51,29220,525,1761,183,2452,251,1630,253,924,173,540,166,2348,230,2683,207,2998,239,5157,312,3677,281,2948,222,1445,162,615,143,42,32
0400000US02,02,Alaska,37968,983,17992,638,1056,181,1321,174,1254,217,841,133,710,155,1343,182,1339,184,1216,159,2936,218,2670,255,2050,165,871,136,266,67,119,72,19976,589,865,140,1208,230,1348,214,954,102,494,109,1424,152,1327,183,1229,162,3384,184,3190,198,2565,201,1261,94,579,80,148,72
0400000US04,04,Arizona,177598,1739,82917,1103,5673,468,5543,506,5339,519,2981,244,2330,201,7423,401,7522,343,8182,358,14893,400,10568,321,6633,211,3841,191,1616,150,373,110,94681,1004,5133,367,5505,472,5433,490,3059,209,2146,192,6009,350,8506,390,8756,267,17860,304,12871,346,10333,292,5595,180,3005,197,470,146
0400000US05,05,Arkansas,35744,856,16648,504,1460,235,1282,241,912,183,740,163,752,206,1549,284,1502,218,1660,208,2716,216,1914,172,1400,183,592,124,125,63,44,39,19096,590,1227,227,1525,268,1220,251,565,141,680,192,1656,254,2094,187,1725,211,3200,243,2390,226,1717,163,713,125,366,132,18,29
0400000US06,06,California,4921543,8660,2329763,4879,133912,1555,140354,2170,142144,2051,93263,1026,66869,780,179064,1298,185122,1127,178074,941,367964,1291,337415,999,258930,847,144659,579,77761,911,24232,905,2591780,5249,129015,1465,133864,2150,136169,2040,87959,849,63721,575,175199,1143,197000,1175,203532,826,423904,1218,393540,1062,316220,888,178923,717,110245,1127,42489,1073
0400000US08,08,Colorado,136882,1982,61705,1249,4183,361,4227,361,4106,378,2049,232,1410,253,5288,360,5567,352,5890,255,10921,333,8354,258,5327,194,2744,135,1190,153,449,124,75177,1121,4403,352,5232,469,4543,417,2345,220,1662,192,5106,315,6696,289,6572,307,13516,370,10608,294,7648,227,3846,128,2411,200,589,142
0400000US09,09,Connecticut,138355,1179,66879,802,5462,200,4802,378,4542,350,2474,158,1914,170,4888,201,6255,164,6539,237,12427,235,8564,195,5194,194,2684,156,1061,107,73,62,71476,700,5303,239,5114,385,4957,324,2516,153,1928,201,4727,211,6757,177,7322,193,13619,212,8876,194,5907,142,2843,139,1366,107,241,88
0400000US10,10,Delaware,29177,554,13982,294,1092,137,1112,174,700,140,525,57,389,78,1053,87,1200,117,1517,89,2449,138,1736,97,1087,52,804,65,216,66,102,51,15195,351,1035,119,1084,159,772,130,525,33,425,64,1057,108,1516,86,1525,75,2575,114,1859,93,1503,51,904,24,323,62,92,61
0400000US11,11,District of Columbia,21440,484,9038,310,389,107,145,87,229,101,127,61,550,152,1028,195,1506,124,1417,113,1738,72,778,65,601,36,307,36,160,53,63,53,12402,323,296,88,291,93,225,90,142,53,807,208,1658,209,2188,137,1934,106,2004,98,1075,50,933,54,487,42,179,57,183,53
0400000US12,12,Florida,464587,3396,214012,2025,13071,625,13574,761,13042,798,8301,428,6594,496,16944,693,17374,542,17527,432,37759,609,29214,501,21947,371,12934,336,4619,286,1112,204,250575,1993,12804,433,14916,814,14507,796,7853,382,5367,347,17171,589,20086,568,20938,515,44192,642,37783,590,29661,441,16715,423,6786,470,1796,303
0400000US13,13,Georgia,318530,2060,153788,1242,10861,413,11974,675,10514,632,5904,376,5144,411,12373,495,12719,407,12810,368,29324,544,20533,353,12710,334,6379,214,2114,236,429,119,164742,1345,10447,443,12328,565,9589,639,6039,340,4569,409,11423,500,14072,325,15354,408,31310,534,23197,463,15215,387,7452,292,3129,316,618,185
0400000US15,15,Hawaii,527745,4369,246208,2656,9728,640,10278,532,12811,715,8833,420,5283,356,13584,559,14763,554,13684,556,32680,652,39541,666,37190,523,23743,311,16052,532,8038,483,281537,2198,9091,492,10067,605,11607,643,7819,428,4456,313,13539,512,14838,509,15236,485,39153,726,45342,613,42359,583,28923,408,25308,573,13799,622
0400000US16,16,Idaho,19097,830,8630,471,653,160,439,126,632,147,431,138,165,79,960,187,934,163,745,159,1211,143,1171,158,634,104,414,100,196,87,45,37,10467,533,527,127,645,203,688,217,336,78,334,132,733,161,987,146,865,156,1766,172,1595,187,983,133,648,191,254,96,106,61
0400000US17,17,Illinois,595110,2573,286070,1440,19803,560,18525,817,16673,707,10327,282,8149,417,22471,547,26721,351,26807,438,48750,444,35188,374,28743,284,16563,243,5901,267,1449,206,309040,1594,19236,579,19671,862,17279,754,9487,313,6896,193,21841,408,28801,409,30033,402,52776,464,39789,360,34042,261,18672,245,7780,409,2737,324
0400000US18,18,Indiana,102713,1449,49303,926,3677,278,3425,361,3258,369,1621,184,2203,193,6751,376,4978,270,4665,259,8172,401,5087,316,3039,199,1803,212,526,124,98,67,53410,856,3644,323,3638,352,3665,384,1891,210,1648,183,5620,350,5085,304,5130,278,9263,379,6129,299,4512,306,1952,172,1015,195,218,104
0400000US19,19,Iowa,54262,715,25815,502,1760,161,1813,256,1767,244,1130,211,1019,183,3529,299,2767,216,2489,234,4263,219,2605,225,1616,167,773,123,237,94,47,47,28447,656,2001,188,2571,249,1697,245,1029,218,1094,214,3547,232,2856,189,2607,166,4728,241,2720,194,1952,198,1128,157,381,89,136,63
0400000US20,20,Kansas,68683,1094,32641,724,2852,315,2524,248,1957,236,998,139,997,163,3445,274,3266,205,3065,209,5590,247,3695,226,2432,165,1382,133,347,55,91,58,36042,597,2740,201,2377,268,2290,233,1231,159,1013,218,3189,280,3655,247,3523,236,6339,242,4093,214,3490,220,1334,92,633,112,135,56
0400000US21,21,Kentucky,49681,861,23100,594,1918,216,1962,283,1672,243,988,153,589,138,2163,265,1954,175,2004,210,4674,235,2604,212,1492,172,760,96,256,74,64,42,26581,597,1897,221,2474,228,1976,229,783,121,676,162,2149,240,2279,186,2657,208,4998,326,3016,217,2223,165,972,90,395,108,86,68
0400000US22,22,Louisiana,71460,893,34922,661,2438,280,2406,262,2160,243,1258,176,975,194,3351,360,3472,257,3116,288,5671,305,4580,246,3277,196,1669,172,470,92,79,48,36538,642,2334,221,2073,239,2310,251,1278,207,932,181,2840,263,3561,279,3393,220,6352,363,4757,292,4053,285,1602,195,861,142,192,79
0400000US23,23,Maine,13971,495,6014,362,273,90,407,118,406,117,322,132,318,101,589,157,540,127,385,119,1111,145,855,113,418,134,234,96,147,79,9,14,7957,366,414,134,561,122,791,174,304,107,261,100,533,109,722,141,605,106,1328,169,1124,155,739,120,464,90,102,64,9,12
0400000US24,24,Maryland,323363,1968,153760,1090,10950,331,10055,515,9907,484,5720,223,4142,216,11159,294,11888,297,13007,280,26116,320,21663,267,15508,142,9159,176,3629,199,857,182,169603,1084,9812,349,10502,536,9924,611,5208,227,3820,200,10305,322,13711,237,15677,309,30458,396,25103,317,18722,189,10272,189,4575,250,1514,225
0400000US25,25,Massachusetts,357354,1881,170674,1192,12357,440,11507,588,9883,633,5906,187,6078,316,16314,359,17007,290,16106,312,29746,302,21067,257,13460,182,7038,167,3390,218,815,173,186680,1134,11901,390,11980,594,9959,582,6287,212,7106,254,17915,376,19322,323,18718,268,31724,282,22880,241,15199,207,8079,170,4015,301,1595,250
0400000US26,26,Michigan,245587,1837,118389,1014,8634,399,9440,467,8551,443,4624,271,4961,399,10360,457,9589,260,10341,276,20869,306,14073,311,9180,196,5357,199,1939,156,471,116,127198,1035,8047,383,10034,465,8496,478,4979,232,4317,336,10189,392,10844,278,12159,270,22465,345,15246,267,11415,261,5705,203,2646,238,656,148
0400000US27,27,Minnesota,216159,1447,105030,856,9450,344,9913,433,8385,469,5558,209,4416,232,11143,305,10372,403,9148,240,16334,274,10021,272,5796,131,3049,187,1160,144,285,89,111129,999,9374,332,9857,443,8605,509,5490,259,4312,229,10431,359,11618,240,10617,284,16877,289,10730,254,7284,171,3530,155,1636,172,768,153
0400000US28,28,Mississippi,26403,843,12235,639,691,183,1075,237,863,202,519,152,429,127,1361,300,929,230,1022,177,1761,252,1782,217,1138,181,421,136,199,87,45,41,14168,577,746,207,918,229,795,222,506,155,346,132,1476,317,1249,232,1120,183,2274,262,1986,242,1635,231,635,155,420,101,62,39
0400000US29,29,Missouri,96035,1318,45377,800,2855,263,3314,355,2711,300,1392,176,1920,221,4734,333,4442,225,4630,234,8048,316,5059,277,3226,171,2098,203,776,133,172,81,50658,789,2997,207,3509,352,2895,300,1699,198,1585,169,4375,304,4976,309,5219,276,8931,330,5988,269,4891,253,2331,162,997,136,265,112
0400000US30,30,Montana,6034,461,2180,253,70,57,132,90,108,76,139,64,126,59,266,118,280,140,173,83,372,98,203,90,165,61,110,51,23,22,13,21,3854,365,91,52,230,81,165,61,209,95,105,64,505,161,284,109,336,111,638,125,546,132,379,109,198,78,87,63,81,63
0400000US31,31,Nebraska,32302,675,15565,382,1241,170,1309,177,1093,166,682,95,584,92,1737,177,1609,132,1346,119,2589,126,1521,89,1087,104,589,101,125,58,53,50,16737,522,1217,157,1337,140,1057,156,535,76,386,130,1665,177,1831,145,1563,126,2798,177,1877,136,1485,102,635,106,281,86,70,43
0400000US32,32,Nevada,196245,1944,88262,1111,4759,410,5503,494,5380,433,3411,216,2278,144,6434,367,6673,350,7267,273,14460,376,12875,268,10008,214,6306,152,2313,164,595,154,107983,1242,4797,435,4780,421,5910,463,3551,221,2033,195,6759,269,7848,371,8710,321,18045,328,17447,328,14959,243,8479,196,3882,195,783,176
0400000US33,33,New Hampshire,28684,655,13566,497,1121,157,1116,218,987,195,520,89,380,99,993,213,1033,133,1202,137,2637,210,1869,227,1091,113,442,91,162,50,13,18,15118,393,1132,169,1261,194,930,151,500,130,525,125,1201,172,1269,147,1569,110,2984,185,1730,154,1248,113,434,78,217,78,118,93
0400000US34,34,New Jersey,736015,2742,358556,1585,25839,437,25631,784,23397,810,13858,307,8315,200,21207,326,28288,382,33647,226,64945,415,51020,353,35039,250,19259,189,6560,304,1551,268,377459,1426,25041,506,25646,864,23104,942,13308,252,7474,201,20821,349,31992,267,36624,361,68141,436,54709,364,38730,209,20589,193,8573,366,2707,327
0400000US35,35,New Mexico,26855,735,11224,537,633,138,606,171,622,173,450,91,379,123,1106,156,987,184,1158,187,1887,273,1283,167,1162,137,667,108,198,62,86,41,15631,526,785,136,801,189,1000,223,510,93,383,124,1009,212,1047,166,1293,184,2880,216,2371,218,2001,186,930,119,518,109,103,59
